"","car_brand","car_model","car_name","production_year","body_type","drive_wheels","engine_displacement","number_of_cylinders","transmission_type","horse_power","fuel_type","seat_capacity","price_new"
"4899","SUBARU","Impreza","SUBARU Impreza",2006,"Sedan","FWD",1.5,4,"automatic",112,"petrol",5,30464
"4900","TOYOTA","Camry","TOYOTA Camry",2012,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,33448
"4901","CHEVROLET","Malibu","CHEVROLET Malibu",2019,"Sedan","FWD",2,4,"automatic",150,"petrol",5,29256
"4902","NISSAN","Fuga","NISSAN Fuga",2008,"Sedan","RWD",2.5,4,"automatic",188,"petrol",5,34632
"4903","HYUNDAI","Santa FE","HYUNDAI Santa FE",2018,"Sedan","AWD",2.4,4,"automatic",180,"petrol",5,31244
"4904","FORD","Escape","FORD Escape",2011,"SUV","AWD",2.5,4,"variator",188,"hybrid",5,40584
"4905","MITSUBISHI","Pajero IO","MITSUBISHI Pajero IO",2000,"SUV","AWD",2,4,"automatic",150,"petrol",5,42000
"4906","CHEVROLET","Cruze","CHEVROLET Cruze",2017,"Sedan","FWD",1.4,4,"automatic",105,"petrol",5,27216
"4907","AUDI","Q7","AUDI Q7",2012,"SUV","AWD",3,6,"automatic",225,"petrol",5,42488
"4908","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"4909","TOYOTA","Aqua","TOYOTA Aqua",2015,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,23760
"4910","KIA","Optima","KIA Optima",2015,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30360
"4911","CHEVROLET","Captiva","CHEVROLET Captiva",2015,"SUV","FWD",2.2,4,"automatic",165,"diesel",5,37840
"4912","HYUNDAI","Sonata","HYUNDAI Sonata",2012,"Sedan","FWD",2.4,4,"automatic",180,"hybrid",5,32996
"4913","HONDA","FIT","HONDA FIT",2010,"Hatchback","FWD",1.5,4,"tiptronic",112,"petrol",5,24840
"4914","TOYOTA","Camry","TOYOTA Camry",2012,"Sedan","FWD",2.5,4,"variator",188,"petrol",5,33448
"4915","HYUNDAI","Tucson","HYUNDAI Tucson",2011,"SUV","FWD",2,4,"automatic",150,"diesel",5,38304
"4916","TOYOTA","Camry","TOYOTA Camry",2016,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,32264
"4917","DODGE","Challenger","DODGE Challenger",2012,"Coupe","RWD",5.7,8,"automatic",428,"petrol",4,50172
"4918","HYUNDAI","Accent","HYUNDAI Accent",2012,"Hatchback","FWD",1.6,4,"tiptronic",120,"petrol",5,24860
"4919","JAGUAR","XF","JAGUAR XF",2016,"Sedan","RWD",2,6,"tiptronic",150,"petrol",5,28340
"4920","MERCEDES-BENZ","CLS 55 AMG","MERCEDES-BENZ CLS 55 AMG",2019,"Sedan","RWD",6,12,"automatic",450,"petrol",5,46216
"4921","HYUNDAI","Tucson","HYUNDAI Tucson",2015,"SUV","FWD",2,4,"automatic",150,"diesel",5,36960
"4922","LEXUS","IS 250","LEXUS IS 250",2010,"Sedan","AWD",2.5,6,"automatic",188,"petrol",5,34040
"4923","FORD","Focus","FORD Focus",2013,"Sedan","FWD",2,4,"tiptronic",150,"hybrid",5,30912
"4924","SSANGYONG","REXTON","SSANGYONG REXTON",2011,"SUV","FWD",2.7,4,"automatic",202,"diesel",5,41496
"4925","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"petrol",5,28860
"4926","HYUNDAI","Santa FE","HYUNDAI Santa FE",2010,"SUV","FWD",2,4,"automatic",150,"diesel",5,38640
"4927","FORD","Transit Connect","FORD Transit Connect",2007,"Sedan","FWD",1.8,4,"manual",135,"diesel",5,31624
"4928","MITSUBISHI","Delica","MITSUBISHI Delica",2001,"Minivan","AWD",3,6,"automatic",225,"petrol",5,44144
"4929","VOLKSWAGEN","Golf","VOLKSWAGEN Golf",2006,"Hatchback","FWD",1.6,4,"manual",120,"diesel",5,26180
"4930","FORD","Focus SE","FORD Focus SE",2014,"Hatchback","FWD",2,4,"automatic",150,"petrol",5,26196
"4931","TOYOTA","Camry","TOYOTA Camry",2015,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,32560
"4932","MAZDA","CX-9","MAZDA CX-9",2011,"Sedan","AWD",3.7,6,"automatic",278,"petrol",5,39216
"4933","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"4934","OPEL","Astra","OPEL Astra",2010,"Hatchback","FWD",1.6,4,"tiptronic",120,"diesel",5,25300
"4935","SSANGYONG","Korando","SSANGYONG Korando",2011,"SUV","FWD",2,4,"automatic",150,"diesel",5,38304
"4936","BMW","750","BMW 750",2010,"Sedan","RWD",2,8,"automatic",150,"petrol",5,29900
"4937","CHEVROLET","Volt","CHEVROLET Volt",2017,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,23328
"4938","VOLKSWAGEN","UP","VOLKSWAGEN UP",2013,"Hatchback","FWD",1,3,"tiptronic",75,"petrol",5,21952
"4939","TOYOTA","Prius","TOYOTA Prius",2010,"SUV","FWD",1.8,4,"automatic",135,"hybrid",5,37720
"4940","FORD","Taurus","FORD Taurus",2011,"Sedan","FWD",3.5,4,"automatic",262,"petrol",5,38304
"4941","FORD","Mustang","FORD Mustang",2015,"Coupe","RWD",3.7,6,"automatic",278,"petrol",4,40040
"4942","HYUNDAI","Sonata","HYUNDAI Sonata",2010,"Sedan","FWD",2,4,"automatic",150,"lpg",5,31740
"4943","OPEL","Astra","OPEL Astra",2008,"Hatchback","FWD",1.6,4,"manual",120,"diesel",5,25740
"4944","TOYOTA","Prius","TOYOTA Prius",2008,"Sedan","FWD",1.5,4,"automatic",112,"hybrid",5,29952
"4945","HYUNDAI","Sonata","HYUNDAI Sonata",2012,"Sedan","FWD",2,4,"automatic",150,"petrol",5,31188
"4946","PORSCHE","Cayenne","PORSCHE Cayenne",2003,"SUV","AWD",4.5,8,"tiptronic",338,"petrol",5,53192
"4947","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"4948","TOYOTA","Aqua","TOYOTA Aqua",2012,"Hatchback","FWD",1.5,4,"automatic",112,"petrol",5,24408
"4949","HYUNDAI","Elantra","HYUNDAI Elantra",2011,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29640
"4950","TOYOTA","Aqua","TOYOTA Aqua",2012,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24408
"4951","BMW","328 sulev","BMW 328 sulev",2016,"Sedan","RWD",2,4,"automatic",150,"petrol",5,28340
"4952","KIA","Sorento SX","KIA Sorento SX",2016,"SUV","FWD",2.5,4,"automatic",188,"petrol",5,34880
"4953","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2014,"Sedan","FWD",2,4,"automatic",150,"petrol",5,28860
"4954","HYUNDAI","Santa FE","HYUNDAI Santa FE",2017,"SUV","FWD",2,4,"automatic",150,"diesel",5,36288
"4955","SSANGYONG","Actyon","SSANGYONG Actyon",2017,"SUV","FWD",1.6,4,"automatic",120,"diesel",5,34560
"4956","MERCEDES-BENZ","ML 350","MERCEDES-BENZ ML 350",2004,"SUV","AWD",3.7,6,"tiptronic",278,"petrol",5,48884
"4957","TOYOTA","Prius","TOYOTA Prius",2013,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25536
"4958","CHEVROLET","Cruze","CHEVROLET Cruze",2013,"Sedan","FWD",2,4,"automatic",150,"petrol",5,29120
"4959","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2014,"Sedan","FWD",2,4,"tiptronic",150,"petrol",5,28860
"4960","BMW","M5","BMW M5",2008,"Sedan","RWD",5,10,"tiptronic",375,"petrol",5,46332
"4961","HONDA","Insight","HONDA Insight",2010,"Hatchback","FWD",1.3,4,"automatic",98,"hybrid",5,23920
"4962","MERCEDES-BENZ","ML 350","MERCEDES-BENZ ML 350",2008,"SUV","AWD",3.5,6,"automatic",262,"diesel",5,46332
"4963","JEEP","Grand Cherokee","JEEP Grand Cherokee",2014,"SUV","AWD",3,6,"automatic",225,"diesel",5,41736
"4964","LEXUS","ES 300","LEXUS ES 300",2014,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,32856
"4965","FORD","Fusion","FORD Fusion",2011,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,33744
"4966","OPEL","Astra","OPEL Astra",1999,"Hatchback","FWD",1.8,4,"manual",135,"petrol",5,28728
"4967","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,30284
"4968","CHEVROLET","Lacetti","CHEVROLET Lacetti",2010,"Sedan","FWD",1.8,4,"automatic",135,"petrol",5,30820
"4969","HYUNDAI","Tucson","HYUNDAI Tucson",2015,"SUV","FWD",2,4,"automatic",150,"petrol",5,36960
"4970","HYUNDAI","Sonata","HYUNDAI Sonata",2011,"Sedan","FWD",2.4,4,"automatic",180,"hybrid",5,33288
"4971","TOYOTA","4Runner","TOYOTA 4Runner",2005,"SUV","AWD",4.7,6,"tiptronic",352,"petrol",5,53280
"4972","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2014,"Sedan","RWD",3.5,6,"automatic",262,"petrol",5,37296
"4973","BMW","X5","BMW X5",2013,"SUV","AWD",2.5,6,"tiptronic",188,"petrol",5,35840
"4974","MERCEDES-BENZ","Sprinter","MERCEDES-BENZ Sprinter",2007,"Minivan","RWD",2.4,4,"manual",180,"diesel",5,35400
"4975","TOYOTA","Corolla Im","TOYOTA Corolla Im",2017,"Hatchback","FWD",1.8,4,"tiptronic",135,"petrol",5,24624
"4976","FORD","Transit","FORD Transit",1998,"Wagon","RWD",2.5,6,"manual",188,"diesel",5,36322
"4977","VOLKSWAGEN","CC","VOLKSWAGEN CC",2008,"Sedan","FWD",2,4,"manual",150,"petrol",5,30420
"4978","TOYOTA","Aqua","TOYOTA Aqua",2013,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24192
"4979","FORD","C-MAX","FORD C-MAX",2013,"Hatchback","FWD",2,4,"variator",150,"hybrid",5,26432
"4980","TOYOTA","RAV 4","TOYOTA RAV 4",2016,"SUV","AWD",2.5,4,"tiptronic",188,"petrol",5,38804
"4981","KIA","Picanto","KIA Picanto",2016,"Hatchback","FWD",1.2,4,"manual",90,"petrol",5,22236
"4982","SUBARU","XV","SUBARU XV",2013,"Hatchback","AWD",2,4,"variator",150,"petrol",5,26432
"4983","DODGE","Caliber","DODGE Caliber",2010,"Hatchback","FWD",2,4,"variator",150,"petrol",5,27140
"4984","RENAULT","Kangoo","RENAULT Kangoo",2007,"Sedan","FWD",2,4,"manual",150,"diesel",5,30680
"4985","LEXUS","NX 200","LEXUS NX 200",2015,"SUV","AWD",2,4,"automatic",150,"petrol",5,36960
"4986","NISSAN","X-Trail","NISSAN X-Trail",2004,"SUV","AWD",2,4,"automatic",150,"cng",5,40656
"4987","HONDA","Civic","HONDA Civic",2016,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30084
"4988","LEXUS","LS 460","LEXUS LS 460",2011,"Sedan","FWD",4.6,4,"automatic",345,"petrol",5,43320
"4989","SUZUKI","Aerio SX","SUZUKI Aerio SX",2003,"Hatchback","FWD",2,4,"automatic",150,"petrol",5,28792
"4990","TOYOTA","Prius","TOYOTA Prius",2011,"Sedan","FWD",1.5,4,"automatic",112,"hybrid",5,29184
"4991","TOYOTA","Prius","TOYOTA Prius",2011,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25992
"4992","CHEVROLET","Impala","CHEVROLET Impala",2016,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,32264
"4993","MERCEDES-BENZ","E 220","MERCEDES-BENZ E 220",2001,"Sedan","RWD",2,4,"manual",150,"diesel",5,32240
"4994","AUDI","A6","AUDI A6",2016,"Sedan","AWD",2,4,"automatic",150,"petrol",5,30084
"4995","MERCEDES-BENZ","G 55 AMG","MERCEDES-BENZ G 55 AMG",1996,"SUV","AWD",5.5,8,"automatic",412,"petrol",5,61404
"4996","HYUNDAI","Elantra","HYUNDAI Elantra",2007,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,30680
"4997","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"4998","BMW","328","BMW 328",2013,"Sedan","RWD",2,4,"tiptronic",150,"diesel",5,29120
"4999","OPEL","Corsa","OPEL Corsa",2004,"Hatchback","FWD",1.6,4,"tiptronic",120,"diesel",5,26620
"5000","SSANGYONG","Actyon","SSANGYONG Actyon",2016,"SUV","FWD",1.6,4,"automatic",120,"petrol",5,34880
"5001","OPEL","Vectra","OPEL Vectra",1996,"Sedan","RWD",2,4,"manual",150,"cng",5,35604
"5002","HYUNDAI","Elantra","HYUNDAI Elantra",2011,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29640
"5003","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"5004","HONDA","FIT","HONDA FIT",2011,"Hatchback","FWD",1.5,4,"automatic",112,"petrol",5,24624
"5005","AUDI","Q7","AUDI Q7",2017,"SUV","AWD",3,6,"automatic",225,"petrol",5,40608
"5006","TOYOTA","Prius C","TOYOTA Prius C",2013,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24192
"5007","TOYOTA","Camry","TOYOTA Camry",2012,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,33448
"5008","MITSUBISHI","Outlander sport","MITSUBISHI Outlander sport",2011,"SUV","FWD",2,4,"tiptronic",150,"petrol",5,38304
"5009","PORSCHE","911","PORSCHE 911",2016,"Coupe","RWD",4,6,"automatic",300,"petrol",4,40984
"5010","HONDA","FIT","HONDA FIT",2016,"Hatchback","FWD",1.5,4,"variator",112,"petrol",5,23544
"5011","NISSAN","Murano","NISSAN Murano",2004,"SUV","AWD",3,4,"automatic",225,"petrol",5,45496
"5012","FORD","Fusion","FORD Fusion",2015,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30360
"5013","HYUNDAI","Elantra","HYUNDAI Elantra",2014,"Sedan","FWD",1.8,4,"tiptronic",135,"petrol",5,29748
"5014","CHEVROLET","Cruze","CHEVROLET Cruze",2014,"Sedan","FWD",1.4,4,"tiptronic",105,"petrol",5,27972
"5015","MITSUBISHI","Pajero IO","MITSUBISHI Pajero IO",1998,"SUV","AWD",1.8,4,"automatic",135,"petrol",5,41656
"5016","HONDA","Insight","HONDA Insight",2010,"Hatchback","FWD",1.3,4,"automatic",98,"hybrid",5,23920
"5017","TOYOTA","Prius C","TOYOTA Prius C",2012,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24408
"5018","LEXUS","RX 450","LEXUS RX 450",2010,"SUV","AWD",3.5,6,"automatic",262,"hybrid",5,45540
"5019","HYUNDAI","Sonata","HYUNDAI Sonata",2015,"Sedan","FWD",2,4,"automatic",150,"petrol",5,30360
"5020","TOYOTA","Prius","TOYOTA Prius",2010,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,26220
"5021","HYUNDAI","Elantra","HYUNDAI Elantra",2011,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,29640
"5022","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"5023","FORD","Fusion","FORD Fusion",2010,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,34040
"5024","HONDA","FIT","HONDA FIT",2003,"Sedan","FWD",1.5,2,"tiptronic",112,"petrol",5,31232
"5025","TOYOTA","Camry","TOYOTA Camry",2017,"Sedan","FWD",2.5,6,"automatic",188,"petrol",5,31968
"5026","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2.4,6,"automatic",180,"petrol",5,32412
"5027","TOYOTA","Highlander","TOYOTA Highlander",2008,"SUV","AWD",3.3,6,"automatic",248,"hybrid",5,45396
"5028","TOYOTA","Prius","TOYOTA Prius",2010,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,26220
"5029","MITSUBISHI","Colt","MITSUBISHI Colt",2004,"Hatchback","FWD",1.5,4,"variator",112,"petrol",5,26136
"5030","TOYOTA","Camry","TOYOTA Camry",2013,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,33152
"5031","HYUNDAI","Santa FE","HYUNDAI Santa FE",2006,"SUV","AWD",2.2,6,"tiptronic",165,"diesel",5,40936
"5032","TOYOTA","Camry","TOYOTA Camry",2014,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,32856
"5033","INFINITI","FX35","INFINITI FX35",2004,"SUV","AWD",3.5,6,"tiptronic",262,"petrol",5,47916
"5034","MERCEDES-BENZ","C 200","MERCEDES-BENZ C 200",2000,"Sedan","RWD",2,4,"automatic",150,"lpg",5,34500
"5035","OPEL","Astra","OPEL Astra",2000,"Hatchback","FWD",1.6,4,"manual",120,"cng",5,27500
"5036","TOYOTA","Prius","TOYOTA Prius",2010,"Sedan","FWD",1.8,4,"automatic",135,"hybrid",5,30820
"5037","HYUNDAI","H1","HYUNDAI H1",2012,"Sedan","FWD",2.5,4,"automatic",188,"diesel",5,33448
"5038","MERCEDES-BENZ","C 230 2.5","MERCEDES-BENZ C 230 2.5",2006,"Sedan","RWD",2.5,6,"manual",188,"petrol",5,35224
"5039","MERCEDES-BENZ","CLS 55 AMG","MERCEDES-BENZ CLS 55 AMG",2005,"Sedan","RWD",2,8,"tiptronic",150,"petrol",5,31200
"5040","HYUNDAI","Sonata","HYUNDAI Sonata",2015,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30360
"5041","NISSAN","Serena","NISSAN Serena",2000,"Sedan","RWD",2.3,4,"manual",172,"diesel",5,36000
"5042","BMW","325","BMW 325",2001,"Sedan","RWD",2.5,6,"manual",188,"petrol",5,36704
"5043","TOYOTA","Hilux","TOYOTA Hilux",2017,"Pickup","AWD",2.4,4,"manual",180,"petrol",5,40176
"5044","TOYOTA","Highlander 2.4 lit","TOYOTA Highlander 2.4 lit",2006,"SUV","FWD",2.4,4,"automatic",180,"petrol",5,41888
"5045","CHEVROLET","Aveo","CHEVROLET Aveo",2009,"Sedan","FWD",1.2,4,"automatic",90,"petrol",5,28304
"5046","HYUNDAI","Sonata","HYUNDAI Sonata",2014,"Sedan","FWD",2.4,4,"automatic",180,"hybrid",5,32412
"5047","VOLKSWAGEN","Golf","VOLKSWAGEN Golf",2000,"Sedan","FWD",2,4,"automatic",150,"petrol",5,32500
"5048","TOYOTA","Venza","TOYOTA Venza",2013,"SUV","AWD",2.7,4,"automatic",202,"petrol",5,40768
"5049","FORD","Fiesta","FORD Fiesta",2011,"Hatchback","FWD",1.3,4,"manual",98,"petrol",5,23712
"5050","TOYOTA","RAV 4","TOYOTA RAV 4",2017,"SUV","AWD",2.5,4,"automatic",188,"petrol",5,38448
"5051","TOYOTA","Camry","TOYOTA Camry",2013,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,33152
"5052","TOYOTA","Prius","TOYOTA Prius",2011,"Sedan","FWD",1.8,4,"automatic",135,"hybrid",5,30552
"5053","HYUNDAI","Tucson","HYUNDAI Tucson",2014,"SUV","FWD",2,4,"automatic",150,"diesel",5,37296
"5054","NISSAN","Juke","NISSAN Juke",2012,"SUV","RWD",2.5,4,"automatic",188,"petrol",5,36160
"5055","BMW","X6","BMW X6",2013,"SUV","AWD",4.4,8,"automatic",330,"petrol",5,48384
"5056","LEXUS","ES 300","LEXUS ES 300",2013,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,33152
"5057","TOYOTA","Camry Le","TOYOTA Camry Le",2012,"Sedan","FWD",2.5,6,"tiptronic",188,"petrol",5,33448
"5058","MAZDA","1000","MAZDA 1000",2015,"Sedan","AWD",2.5,4,"automatic",188,"petrol",5,32560
"5059","OPEL","Omega","OPEL Omega",1997,"Wagon","RWD",2,4,"manual",150,"lpg",5,34048
"5060","TOYOTA","Prius","TOYOTA Prius",2012,"Hatchback","FWD",1.8,4,"variator",135,"petrol",5,25764
"5061","MERCEDES-BENZ","ML 320","MERCEDES-BENZ ML 320",2009,"SUV","AWD",2.5,6,"automatic",188,"diesel",5,37120
"5062","TOYOTA","Aqua","TOYOTA Aqua",2013,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,24192
"5063","BMW","535","BMW 535",2011,"Sedan","RWD",2,6,"tiptronic",150,"petrol",5,29640
"5064","BMW","428","BMW 428",2014,"Coupe","AWD",2,4,"automatic",150,"petrol",4,32856
"5065","BUICK","Century","BUICK Century",2015,"Sedan","FWD",2.4,4,"automatic",180,"petrol",5,32120
"5066","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"5067","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2010,"Sedan","AWD",3.5,6,"automatic",262,"petrol",5,38640
"5068","BMW","X5","BMW X5",2004,"SUV","AWD",3,6,"tiptronic",225,"petrol",5,45496
"5069","TOYOTA","Prius","TOYOTA Prius",2011,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25992
"5070","MAZDA","Mazda 6","MAZDA Mazda 6",2017,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,31968
"5071","VOLKSWAGEN","Jetta","VOLKSWAGEN Jetta",2003,"Sedan","FWD",2,4,"manual",150,"petrol",5,33672
"5072","HYUNDAI","Sonata","HYUNDAI Sonata",2011,"Sedan","FWD",2.4,4,"tiptronic",180,"hybrid",5,33288
"5073","CHRYSLER","PT Cruiser","CHRYSLER PT Cruiser",2002,"Hatchback","FWD",2,4,"tiptronic",150,"petrol",5,29028
"5074","SUZUKI","CERVO","SUZUKI CERVO",2010,"Wagon","AWD",0.6,4,"manual",45,"petrol",5,24150
"5075","HYUNDAI","Sonata","HYUNDAI Sonata",2010,"Sedan","FWD",2,4,"automatic",150,"petrol",5,31740
"5076","MERCEDES-BENZ","Sprinter Maxi-ს Max","MERCEDES-BENZ Sprinter Maxi-ს Max",2013,"Minivan","RWD",2.4,6,"tiptronic",180,"diesel",5,33600
"5077","TOYOTA","Tundra","TOYOTA Tundra",2014,"SUV","AWD",5.7,8,"automatic",428,"petrol",5,53724
"5078","MERCEDES-BENZ","E 270","MERCEDES-BENZ E 270",2002,"Sedan","RWD",2,5,"tiptronic",150,"diesel",5,31980
"5079","OPEL","Zafira","OPEL Zafira",1999,"Minivan","FWD",1.8,4,"manual",135,"cng",5,38808
"5080","HYUNDAI","Sonata LPG","HYUNDAI Sonata LPG",2014,"Sedan","FWD",2,4,"automatic",150,"lpg",5,30636
"5081","TOYOTA","Camry Hybrid","TOYOTA Camry Hybrid",2008,"Sedan","FWD",2.4,4,"tiptronic",180,"hybrid",5,34164
"5082","HONDA","Odyssey","HONDA Odyssey",1999,"Minivan","FWD",2.3,4,"automatic",172,"petrol",5,41328
"5083","AUDI","A4","AUDI A4",2001,"Sedan","FWD",2.8,6,"tiptronic",210,"cng",5,38192
"5084","JEEP","Grand Cherokee","JEEP Grand Cherokee",2004,"SUV","AWD",4.7,8,"automatic",352,"petrol",5,53724
"5085","TOYOTA","Highlander","TOYOTA Highlander",2011,"SUV","AWD",3.5,6,"tiptronic",262,"petrol",5,45144
"5086","TOYOTA","Aqua","TOYOTA Aqua",2012,"Hatchback","FWD",1.5,4,"variator",112,"hybrid",5,24408
"5087","TOYOTA","Tacoma","TOYOTA Tacoma",2013,"SUV","RWD",2.7,4,"automatic",202,"petrol",5,40768
"5088","TOYOTA","Camry","TOYOTA Camry",2019,"Sedan","FWD",2.5,4,"automatic",188,"hybrid",5,31376
"5089","FORD","Transit","FORD Transit",2002,"Minivan","FWD",2.4,4,"manual",180,"diesel",5,36900
"5090","MITSUBISHI","Colt","MITSUBISHI Colt",2003,"Hatchback","FWD",1.2,4,"automatic",90,"petrol",5,24888
"5091","TOYOTA","Prius","TOYOTA Prius",2013,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25536
"5092","HYUNDAI","Elantra","HYUNDAI Elantra",2015,"Sedan","FWD",1.6,4,"automatic",120,"petrol",5,28600
"5093","BMW","X5","BMW X5",2004,"SUV","AWD",2.5,6,"tiptronic",188,"diesel",5,38720
"5094","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2009,"Sedan","AWD",3.5,6,"automatic",262,"diesel",5,38976
"5095","FORD","Fusion","FORD Fusion",2014,"Sedan","AWD",2,4,"automatic",150,"petrol",5,30636
"5096","TOYOTA","Prius","TOYOTA Prius",2013,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25536
"5097","HYUNDAI","Santa FE","HYUNDAI Santa FE",2016,"SUV","FWD",2,4,"automatic",150,"diesel",5,36624
"5098","HYUNDAI","Sonata","HYUNDAI Sonata",2012,"Sedan","FWD",2.4,4,"automatic",180,"hybrid",5,32996
"5099","HONDA","Insight","HONDA Insight",2010,"Hatchback","FWD",1.3,4,"automatic",98,"hybrid",5,23920
"5100","MERCEDES-BENZ","E 350","MERCEDES-BENZ E 350",2008,"Sedan","RWD",3,6,"automatic",225,"diesel",5,36972
"5101","SSANGYONG","REXTON","SSANGYONG REXTON",2015,"SUV","FWD",2,4,"automatic",150,"diesel",5,36960
"5102","SUZUKI","Kizashi sporti","SUZUKI Kizashi sporti",2010,"Sedan","AWD",2.4,4,"variator",180,"petrol",5,33580
"5103","BMW","535","BMW 535",2013,"Sedan","RWD",2,6,"tiptronic",150,"petrol",5,29120
"5104","MERCEDES-BENZ","ML 350","MERCEDES-BENZ ML 350",2011,"SUV","AWD",3.5,6,"automatic",262,"diesel",5,45144
"5105","HYUNDAI","Santa FE","HYUNDAI Santa FE",2017,"SUV","FWD",2,4,"automatic",150,"diesel",5,36288
"5106","SSANGYONG","REXTON","SSANGYONG REXTON",2017,"SUV","FWD",2.2,4,"automatic",165,"diesel",5,37152
"5107","MITSUBISHI","Pajero IO","MITSUBISHI Pajero IO",2000,"SUV","RWD",2,4,"automatic",150,"petrol",5,42000
"5108","HYUNDAI","Sonata hybrid","HYUNDAI Sonata hybrid",2014,"Sedan","FWD",2.4,4,"tiptronic",180,"hybrid",5,32412
"5109","HONDA","FIT","HONDA FIT",2019,"Hatchback","FWD",1.5,4,"automatic",112,"hybrid",5,22896
"5110","HYUNDAI","Santa FE","HYUNDAI Santa FE",2015,"SUV","FWD",2,4,"automatic",150,"diesel",5,36960
"5111","TOYOTA","Prius","TOYOTA Prius",2012,"Hatchback","FWD",1.8,4,"automatic",135,"hybrid",5,25764
"5112","TOYOTA","Highlander","TOYOTA Highlander",2008,"Sedan","AWD",3.3,6,"automatic",248,"hybrid",5,38376
"5113","HONDA","Civic","HONDA Civic",2012,"Sedan","FWD",1.5,4,"automatic",112,"hybrid",5,28928
"5114","HYUNDAI","Elantra","HYUNDAI Elantra",2012,"Sedan","FWD",1.8,4,"tiptronic",135,"petrol",5,30284
"5115","OPEL","Astra","OPEL Astra",1996,"Hatchback","FWD",1.6,4,"manual",120,"petrol",5,28380
"5116","HONDA","FIT","HONDA FIT",2012,"Hatchback","FWD",1.3,4,"automatic",98,"hybrid",5,23504
"5117","TOYOTA","Camry","TOYOTA Camry",2017,"Sedan","FWD",2.5,4,"automatic",188,"petrol",5,31968
"5118","TOYOTA","Camry SPORT","TOYOTA Camry SPORT",2012,"Sedan","FWD",2.5,4,"tiptronic",188,"petrol",5,33448
"5119","BMW","550","BMW 550",2011,"Hatchback","RWD",4.4,4,"automatic",330,"petrol",5,37848
"5120","BMW","528","BMW 528",2013,"Sedan","AWD",2,4,"automatic",150,"petrol",5,30912
